amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,clusters
867.929,6190.838,0.0,0.0,0.0,0
3308.293,35.791,0.0,0.0,0.0,2
34.755,1415.56,156.485,0.0,0.0,2
3967.147,11.468,0.0,0.0,0.0,2
151.498,1986.027,0.0,0.0,0.0,2
0.0,164.73,0.0,0.0,0.0,2
108.072,5327.638,3.257,0.0,0.0,0
2592.962,8659.335,0.0,0.0,0.0,0
1036.225,8587.353,11.001,0.0,0.0,0
0.0,32.97,0.0,0.0,0.0,2
883.707,6874.158,0.0,0.0,0.0,0
7471.734,0.0,0.0,0.0,682.388,6
180.952,19291.926,1.129,0.0,0.0,0
14109.713,1386.695,11.569,0.0,8241.671,3
1148.319,158.634,0.0,0.0,0.0,2
846.913,0.0,592.501,0.0,17.21,2
14.96,15.604,0.0,0.0,0.0,2
0.0,0.0,0.0,9.618,0.0,2
0.0,0.0,17.977,0.0,3618.78,3
0.0,0.0,0.0,0.0,256.567,2
0.0,0.0,0.0,0.0,412.01,2
98.666,774.34,53.927,0.0,0.0,2
200.519,29.786,0.0,0.0,626.33203,2
1867.463,91.483,0.0,69.226,35.195,2
1939.922,93.73,0.0,0.0,0.0,2
7282.06,779.432,15235.002,0.0,42.322998,4
6501.791,182.488,0.0,12.664,0.0,1
5512.25,48.121,0.0,0.0,599.033,6
5919.472,130.168,183.167,0.0,126.27,6
78.03,29.358,37.619,0.0,114.768,2
0.0,0.0,0.0,0.0,52.475,2
661.291,0.0,8.3,0.0,0.0,2
842.62897,0.0,0.0,0.0,3943.9,3
2772.802,196.754,0.0,0.0,878.86304,2
0.0,0.0,2722.412,0.0,0.0,4
140.928,1090.752,0.0,0.0,0.0,2
49.482,0.0,0.0,0.0,0.0,2
122.868,280.258,0.0,0.0,0.0,2
4252.957,6239.399,94.288,11.761,114.048,0
2.312,3.56,0.0,0.0,0.0,2
6686.325,2619.565,0.0,0.0,0.0,6
403.441,0.0,0.0,1226.439,0.0,2
0.0,0.0,43.409,0.0,0.0,2
7743.193,4855.878,0.0,0.0,0.0,1
8690.472,0.0,4.056,0.0,0.0,6
35694.523,37.319,0.0,276.832,0.0,6
1671.19,125.943,0.0,0.0,0.0,2
219.89,56.717,0.0,355.767,0.0,2
3877.975,6354.339,0.0,0.0,0.0,0
57.402,6.229,0.0,0.0,0.0,2
10719.749,1133.427,0.0,0.0,0.0,6
81.453,0.0,10.873,0.0,25.403,2
117.281,0.0,0.0,0.0,0.0,2
0.0,0.0,33.748,0.0,0.0,2
3052.229,5742.574,0.0,0.0,0.0,0
537.563,884.974,0.0,0.0,0.0,2
14.13,0.0,0.0,25.425,0.0,1
225.965,580.19,0.0,0.0,0.0,2
803.938,20782.78,0.0,0.0,0.0,0
236.752,333.049,14780.004,0.0,0.0,4
861.911,15526.982,27.221,0.0,16.066,0
520.238,1591.641,0.0,0.0,0.0,2
18738.604,508.325,5612.547,0.0,653.058,4
603.855,7.414,0.0,0.0,0.0,2
0.0,2545.121,0.0,0.0,0.0,2
281.086,874.47,23.349,0.0,0.0,2
24.53,38.234,18.592,0.0,0.0,2
2051.445,15021.556,0.0,0.0,0.0,0
1864.758,13229.185,4.195,11.041,0.0,0
1137.654,446.599,0.0,0.0,0.0,2
0.0,4898.255,0.0,0.0,0.0,0
55.296,7595.288,0.0,0.0,0.0,0
78.286,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,16.918,0.0,2
1432.314,8661.956,0.0,0.0,0.0,0
0.0,1113.243,0.0,0.0,0.0,2
2870.734,4904.012,0.0,0.0,0.0,0
0.0,501.069,0.0,0.0,0.0,2
307.253,1074.043,0.0,314.719,0.0,2
86.834,5983.872,0.0,0.0,0.0,0
1613.371,424.964,13.057,0.0,0.0,2
0.0,0.0,0.0,32.991,0.0,2
72.334,4784.798,657.965,17.839,0.0,2
743.497,1782.231,184.591,23.345,121.016,2
2937.813,5263.421,0.0,0.0,0.0,0
1117.905,600.106,457.669,0.0,85.254,2
2049.48,189.581,102.425,0.0,0.0,2
0.0,0.0,0.0,0.0,1554.556,2
26.309,0.0,321.738,2726.278,0.0,2
108.018,0.0,175.022,0.0,1102.508,2
127.28,0.0,0.0,0.0,3288.448,3
2046.968,3307.961,3921.517,0.0,2047.303,4
318.292,76.854,0.0,0.0,0.0,2
4910.478,147.25,42.651,22.187,3320.689,3
110.196,11.08,0.0,0.0,7677.926,3
0.0,0.0,2449.58,0.0,0.0,2
13676.591,37.486,0.0,0.0,0.0,6
5295.771,261.153,1325.036,67.431,1990.454,6
2863.362,0.0,0.0,0.0,0.0,2
38.882,0.0,0.0,0.0,82.84,2
444.93,0.0,1316.129,0.0,4639.317,3
64.395,0.0,0.0,0.0,8757.303,3
1713.331,84.543,317.566,6.634,3249.845,3
1259.52,0.0,0.0,0.0,1091.566,2
1388.749,1997.257,4634.13,0.0,0.0,4
94.125,42.41,0.0,0.0,0.0,2
241.399,6290.889,210.045,0.0,0.0,0
13.844,16.573,49.029,0.0,0.0,2
812.209,4574.812,0.0,0.0,0.0,1
